epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2374.59,0.93226,0.3743,1.18273,0.99536,0.991,0.99408,0.75126,1.03206,0.34624,1.34309,0.0057925,0.0057925,0.0057925
87,2402.03,0.94017,0.3786,1.18651,0.99459,0.99247,0.99441,0.74743,1.03753,0.35322,1.35509,0.005743,0.005743,0.005743
88,2429.46,0.93419,0.37567,1.18125,0.99577,0.9922,0.99404,0.74411,1.03632,0.34407,1.35879,0.0056935,0.0056935,0.0056935
89,2456.85,0.94022,0.37556,1.18918,0.99508,0.9934,0.99437,0.74766,1.02657,0.34507,1.34673,0.005644,0.005644,0.005644
90,2484.69,0.95012,0.382,1.18736,0.99559,0.9934,0.99429,0.7497,1.03949,0.34893,1.35339,0.0055945,0.0055945,0.0055945
91,2512.48,0.93931,0.37687,1.17951,0.99639,0.99286,0.99446,0.74553,1.02835,0.34014,1.34802,0.005545,0.005545,0.005545
92,2540.05,0.93938,0.37504,1.18827,0.99519,0.9934,0.99404,0.74983,1.03108,0.34173,1.34676,0.0054955,0.0054955,0.0054955
93,2567.4,0.93407,0.37512,1.18876,0.99553,0.9934,0.9942,0.74774,1.03333,0.33768,1.35311,0.005446,0.005446,0.005446
94,2595.09,0.93521,0.37242,1.18023,0.9944,0.9946,0.99405,0.74626,1.03455,0.34251,1.3448,0.0053965,0.0053965,0.0053965
95,2622.4,0.93431,0.37423,1.17851,0.99458,0.99133,0.99417,0.74744,1.02188,0.33861,1.3443,0.005347,0.005347,0.005347
96,2649.83,0.93553,0.37108,1.18318,0.99495,0.9934,0.99398,0.74526,1.03434,0.34234,1.35794,0.0052975,0.0052975,0.0052975
97,2677.31,0.93149,0.37389,1.17659,0.99485,0.9934,0.9943,0.74735,1.04086,0.34173,1.3581,0.005248,0.005248,0.005248
98,2704.82,0.93184,0.37621,1.18318,0.99417,0.9934,0.99427,0.74325,1.03509,0.34425,1.34592,0.0051985,0.0051985,0.0051985
99,2732.16,0.92569,0.3701,1.18072,0.99461,0.9952,0.99429,0.7411,1.02737,0.3402,1.35526,0.005149,0.005149,0.005149
100,2759.62,0.93119,0.36895,1.18389,0.9952,0.99469,0.99396,0.74291,1.03738,0.34084,1.35322,0.0050995,0.0050995,0.0050995
101,2787.12,0.92146,0.36498,1.17808,0.99281,0.99405,0.99405,0.74649,1.04228,0.3429,1.3533,0.00505,0.00505,0.00505
102,2814.56,0.92456,0.3683,1.16745,0.99629,0.994,0.9944,0.74242,1.03411,0.34181,1.351,0.0050005,0.0050005,0.0050005
103,2841.86,0.93084,0.37174,1.18006,0.99164,0.99586,0.99408,0.75008,1.03602,0.33861,1.35362,0.004951,0.004951,0.004951
104,2869.29,0.92406,0.3663,1.17757,0.99492,0.9946,0.9942,0.73852,1.03566,0.34048,1.35503,0.0049015,0.0049015,0.0049015
105,2896.92,0.91837,0.36582,1.17737,0.99521,0.99681,0.99384,0.74463,1.02987,0.33817,1.35519,0.004852,0.004852,0.004852
106,2924.36,0.91619,0.3633,1.17019,0.9956,0.9952,0.99402,0.74655,1.03888,0.34103,1.35718,0.0048025,0.0048025,0.0048025
107,2951.89,0.91755,0.36645,1.17003,0.99437,0.9946,0.99401,0.74877,1.03805,0.33612,1.3618,0.004753,0.004753,0.004753
108,2979.49,0.9238,0.36591,1.17874,0.99401,0.99549,0.99399,0.7447,1.03142,0.33995,1.35906,0.0047035,0.0047035,0.0047035
109,3006.97,0.91127,0.36277,1.16747,0.99397,0.9928,0.99392,0.74503,1.04935,0.34248,1.36547,0.004654,0.004654,0.004654
110,3034.43,0.91606,0.36514,1.17672,0.99398,0.9913,0.99412,0.74917,1.03905,0.34168,1.36037,0.0046045,0.0046045,0.0046045
111,3061.8,0.92082,0.3652,1.17123,0.99557,0.994,0.99432,0.75232,1.03005,0.33589,1.35357,0.004555,0.004555,0.004555
112,3089.2,0.90872,0.36331,1.16539,0.99342,0.99556,0.99404,0.74344,1.03504,0.34096,1.35996,0.0045055,0.0045055,0.0045055
113,3116.53,0.90716,0.36048,1.17012,0.99425,0.994,0.99407,0.74739,1.03255,0.33334,1.35732,0.004456,0.004456,0.004456
114,3143.89,0.89795,0.35724,1.16091,0.99606,0.9934,0.99406,0.74516,1.03922,0.33828,1.36138,0.0044065,0.0044065,0.0044065
115,3171.31,0.91426,0.36096,1.17057,0.99691,0.9946,0.99426,0.748,1.04051,0.33544,1.35895,0.004357,0.004357,0.004357
116,3198.74,0.90228,0.35784,1.16719,0.99759,0.99362,0.99439,0.74425,1.03735,0.33753,1.35734,0.0043075,0.0043075,0.0043075
117,3226.09,0.90209,0.36029,1.16683,0.99342,0.99568,0.99397,0.75123,1.02908,0.332,1.35408,0.004258,0.004258,0.004258
118,3253.51,0.90129,0.35921,1.16252,0.99549,0.9928,0.99409,0.74281,1.04269,0.33593,1.36297,0.0042085,0.0042085,0.0042085
119,3280.9,0.90622,0.36109,1.15681,0.99282,0.99485,0.99419,0.75104,1.0306,0.33368,1.35889,0.004159,0.004159,0.004159
120,3308.2,0.89735,0.3601,1.16583,0.99542,0.9958,0.99432,0.75429,1.03465,0.33391,1.35956,0.0041095,0.0041095,0.0041095
121,3336.18,0.89617,0.35714,1.1574,0.99639,0.99269,0.99433,0.74827,1.04283,0.33745,1.36429,0.00406,0.00406,0.00406
122,3363.57,0.90539,0.35933,1.15293,0.99691,0.9934,0.99431,0.74785,1.04358,0.3357,1.36041,0.0040105,0.0040105,0.0040105
123,3390.88,0.8947,0.35437,1.15789,0.99296,0.9958,0.9944,0.7497,1.03348,0.33347,1.36227,0.003961,0.003961,0.003961
124,3418.24,0.89929,0.3611,1.16218,0.9952,0.99449,0.99438,0.75021,1.04223,0.33959,1.36004,0.0039115,0.0039115,0.0039115
125,3445.63,0.89996,0.35654,1.16255,0.99372,0.9952,0.99414,0.74718,1.05054,0.33567,1.36763,0.003862,0.003862,0.003862
126,3473.01,0.88802,0.35196,1.15232,0.99679,0.9916,0.99425,0.74896,1.03951,0.33329,1.36081,0.0038125,0.0038125,0.0038125
127,3500.39,0.89586,0.35453,1.15765,0.99519,0.99383,0.99416,0.74735,1.03451,0.33097,1.36198,0.003763,0.003763,0.003763
128,3527.69,0.89118,0.35399,1.15608,0.99639,0.99313,0.99454,0.74968,1.04041,0.33412,1.35899,0.0037135,0.0037135,0.0037135
129,3554.98,0.88873,0.35308,1.15112,0.99639,0.99318,0.99442,0.74402,1.04425,0.33362,1.35973,0.003664,0.003664,0.003664
130,3581.96,0.8918,0.35355,1.15911,0.99676,0.9946,0.99445,0.74967,1.04163,0.33299,1.36411,0.0036145,0.0036145,0.0036145
131,3609.4,0.89127,0.35772,1.15711,0.9946,0.99508,0.99431,0.74334,1.04672,0.33558,1.3691,0.003565,0.003565,0.003565
132,3636.95,0.88679,0.35225,1.1577,0.99651,0.9934,0.99439,0.74894,1.0434,0.33196,1.37005,0.0035155,0.0035155,0.0035155
133,3664.57,0.88361,0.34898,1.15394,0.99639,0.99376,0.99436,0.74709,1.04154,0.33203,1.36534,0.003466,0.003466,0.003466
134,3692.16,0.87848,0.35002,1.1538,0.99515,0.9934,0.99404,0.7464,1.03854,0.33165,1.3647,0.0034165,0.0034165,0.0034165
135,3719.46,0.87952,0.34995,1.14904,0.9962,0.9928,0.99426,0.74849,1.04173,0.33148,1.36328,0.003367,0.003367,0.003367
136,3747.15,0.87702,0.34813,1.14975,0.9946,0.99468,0.9942,0.75128,1.04371,0.33208,1.36949,0.0033175,0.0033175,0.0033175
137,3774.45,0.87333,0.34657,1.15295,0.99309,0.9958,0.9944,0.74835,1.05035,0.33321,1.37327,0.003268,0.003268,0.003268
138,3801.78,0.88072,0.34572,1.15485,0.994,0.99425,0.99432,0.74399,1.04422,0.33303,1.37277,0.0032185,0.0032185,0.0032185
139,3829.16,0.87062,0.34281,1.15254,0.99282,0.99519,0.99418,0.74707,1.03898,0.32905,1.36686,0.003169,0.003169,0.003169
140,3856.58,0.87102,0.34496,1.14559,0.9946,0.99372,0.99445,0.74868,1.03858,0.33255,1.36763,0.0031195,0.0031195,0.0031195
141,3884.01,0.86977,0.34518,1.14159,0.99473,0.9946,0.99444,0.74993,1.04217,0.33082,1.37153,0.00307,0.00307,0.00307
142,3911.44,0.86454,0.34108,1.13307,0.99438,0.9952,0.99419,0.75006,1.04054,0.32824,1.3701,0.0030205,0.0030205,0.0030205
